scorer,DLC_DlcrnetStride32Ms5_AnglesSep2shuffle3_snapshot_175,DLC_DlcrnetStride32Ms5_AnglesSep2shuffle3_snapshot_175,DLC_DlcrnetStride32Ms5_AnglesSep2shuffle3_snapshot_175,DLC_DlcrnetStride32Ms5_AnglesSep2shuffle3_snapshot_175,DLC_DlcrnetStride32Ms5_AnglesSep2shuffle3_snapshot_175,DLC_DlcrnetStride32Ms5_AnglesSep2shuffle3_snapshot_175,DLC_DlcrnetStride32Ms5_AnglesSep2shuffle3_snapshot_175,DLC_DlcrnetStride32Ms5_AnglesSep2shuffle3_snapshot_175,DLC_DlcrnetStride32Ms5_AnglesSep2shuffle3_snapshot_175
bodyparts,Paw,Paw,Paw,Elbow,Elbow,Elbow,Shoulder,Shoulder,Shoulder
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,113.355,103.401,1.0,44.986,80.807,0.995,65.545,35.039,0.974
1,120.682,92.819,1.0,45.488,74.9,0.997,70.972,34.597,0.988
2,136.135,91.507,0.998,47.949,81.76,0.997,67.68,33.146,0.989
3,196.016,129.02,0.999,122.618,97.282,0.982,89.543,46.215,0.918
4,189.662,142.986,1.0,119.764,107.164,0.999,87.149,44.166,0.961
5,160.691,120.1,1.0,68.286,103.258,0.992,83.21,45.539,0.957
6,151.172,117.684,1.0,64.809,100.687,0.999,78.215,41.325,0.975
7,140.457,116.697,1.0,58.5,96.29,0.996,75.666,47.834,0.996
8,135.636,116.097,0.999,52.359,95.729,0.995,70.63,43.751,0.997
9,135.815,116.084,0.999,54.782,96.543,0.994,70.491,44.123,0.997
10,122.806,111.533,1.0,41.793,89.915,0.997,65.293,43.355,0.997
11,116.81,108.718,0.999,36.789,89.11,0.993,59.39,44.649,0.991
12,116.736,109.196,1.0,36.763,89.691,0.99,59.489,45.067,0.989
13,94.573,106.923,1.0,15.905,87.398,0.917,45.507,42.973,0.976
14,90.235,106.646,1.0,14.303,87.942,0.809,30.796,43.782,0.855
