scorer,DLC_DlcrnetStride32Ms5_AnglesSep2shuffle3_snapshot_175,DLC_DlcrnetStride32Ms5_AnglesSep2shuffle3_snapshot_175,DLC_DlcrnetStride32Ms5_AnglesSep2shuffle3_snapshot_175,DLC_DlcrnetStride32Ms5_AnglesSep2shuffle3_snapshot_175,DLC_DlcrnetStride32Ms5_AnglesSep2shuffle3_snapshot_175,DLC_DlcrnetStride32Ms5_AnglesSep2shuffle3_snapshot_175,DLC_DlcrnetStride32Ms5_AnglesSep2shuffle3_snapshot_175,DLC_DlcrnetStride32Ms5_AnglesSep2shuffle3_snapshot_175,DLC_DlcrnetStride32Ms5_AnglesSep2shuffle3_snapshot_175
bodyparts,Paw,Paw,Paw,Elbow,Elbow,Elbow,Shoulder,Shoulder,Shoulder
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,110.503,102.57,1.0,84.851,59.641,0.982,122.072,36.889,0.832
1,188.508,94.558,0.987,114.502,82.873,0.998,133.875,40.207,0.98
2,227.637,106.735,0.999,144.886,90.928,0.994,164.79,52.55,0.983
3,259.032,130.553,0.999,183.952,96.543,0.98,176.074,56.105,0.982
4,291.521,134.711,0.996,216.088,103.185,0.972,192.207,55.333,0.964
5,319.521,146.194,1.0,257.512,107.314,1.0,199.622,55.767,0.943
6,301.611,155.336,0.999,243.678,111.516,0.996,200.703,56.582,0.951
7,300.205,152.803,0.999,242.053,109.263,0.999,203.637,55.91,0.946
8,298.559,153.959,1.0,241.577,110.106,0.999,204.601,54.985,0.953
9,233.724,162.551,0.999,185.135,104.446,0.972,196.335,53.493,0.971
10,198.84,182.761,0.999,177.184,117.114,0.912,177.156,57.788,0.971
11,200.754,184.278,0.863,179.475,125.758,0.985,163.119,60.868,0.974
12,172.119,186.902,0.994,142.334,122.928,0.92,138.462,60.338,0.94
13,164.119,179.181,0.999,112.098,122.359,0.961,114.576,52.845,0.975
14,156.992,178.453,0.997,111.403,130.023,0.94,105.088,45.013,0.99
15,156.5,180.002,0.994,108.892,129.374,0.897,103.426,46.679,0.993
16,157.354,181.591,0.997,105.272,130.079,0.935,100.216,51.019,0.99
17,155.115,183.312,0.996,104.496,132.465,0.935,98.855,51.434,0.991
18,156.504,184.778,0.996,102.078,130.06,0.771,94.424,55.186,0.996
19,149.66,183.913,0.998,86.129,119.297,0.689,87.539,55.646,0.947
20,124.154,124.205,0.354,60.422,108.075,0.806,84.126,61.311,0.962
21,119.476,140.967,0.982,63.558,109.455,0.786,81.157,53.915,0.978
22,116.064,156.031,0.999,57.324,113.377,0.997,77.831,53.519,0.96
23,114.843,106.229,0.996,52.318,73.502,0.976,84.189,44.907,0.96
